,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
341,Agadez,NE,19.75,10.25,103.03,10,0,12.5,clear sky
342,Sibolga,ID,1.74,98.78,77.59,84,100,2.71,overcast clouds
343,Chernyshevskiy,RU,63.01,112.47,40.53,93,100,3.83,overcast clouds
344,Hirara,JP,24.80,125.28,84.27,83,100,19.73,overcast clouds
345,Marystown,CA,47.17,-55.15,67.26,65,100,3.02,overcast clouds
346,Luanda,AO,-8.84,13.23,75.4,73,98,16.89,overcast clouds
347,Adrar,MR,20.50,-10.07,102.11,20,51,3.22,broken clouds
348,Richards Bay,ZA,-28.78,32.04,70.34,71,0,16.26,clear sky
349,Aklavik,CA,68.22,-135.01,38.14,96,100,25.14,light rain
350,San Jorge,AR,-31.90,-61.86,63.79,33,0,7.47,clear sky
351,Koumac,NC,-20.57,164.28,68.9,77,100,11.92,overcast clouds
352,Menomonie,US,44.88,-91.92,61.29,82,0,3.44,clear sky
353,Ouallam,NE,14.32,2.09,97.97,34,12,7.56,few clouds
354,Teguise,ES,29.06,-13.56,80.82,54,20,20.71,few clouds
355,Kautokeino,NO,69.01,23.04,48.85,61,100,9.04,light rain
356,Along,IN,28.17,94.77,72.37,90,100,0.92,overcast clouds
357,Vung Tau,VN,10.35,107.08,81.1,80,100,13.76,light rain
358,Tura,IN,25.52,90.22,74.57,95,85,3.69,overcast clouds
359,Zhigansk,RU,66.77,123.37,43.11,63,100,11.36,overcast clouds
360,Kaduqli,SD,11.02,29.72,83.77,66,78,4.7,light rain
361,Ravar,IR,31.27,56.81,90.91,9,0,9.93,clear sky
362,Great Falls,US,47.50,-111.30,73.42,29,0,10.36,clear sky
363,Akyab,MM,20.15,92.90,84.24,76,99,4.36,moderate rain
364,Wuning,CN,29.26,120.23,70.21,78,97,1.3,overcast clouds
365,Correntina,BR,-13.34,-44.64,85.77,28,11,9.89,few clouds
366,Waipawa,NZ,-41.41,175.52,39.83,57,100,20.94,overcast clouds
367,Norman Wells,CA,65.28,-126.83,51.84,87,100,18.41,light rain
368,Najran,SA,17.49,44.13,99.25,10,24,18.39,few clouds
369,Gorontalo,ID,0.54,123.06,75.81,94,100,2.01,moderate rain
370,Rio Grande,BR,-32.03,-52.10,66.31,67,1,5.14,clear sky
371,Kruisfontein,ZA,-34.00,24.73,63.88,49,1,27.47,clear sky
372,Igrim,RU,63.19,64.42,45.41,72,92,1.81,overcast clouds
373,Sao Marcos,BR,-28.97,-51.07,64.35,50,97,3.22,overcast clouds
374,Arraial Do Cabo,BR,-22.97,-42.03,69.76,64,75,6.91,broken clouds
375,Aksarka,RU,66.56,67.80,44.02,82,100,4.34,overcast clouds
376,Rafraf,TN,37.19,10.18,95.31,68,58,17.05,broken clouds
377,Hamilton,US,39.18,-84.53,71.44,97,75,6.91,broken clouds
378,Marawi,PH,8.00,124.29,69.22,95,100,1.9,overcast clouds
379,Lagos,NG,6.58,3.75,84.52,67,54,8.66,broken clouds
380,Dingle,PH,11.00,122.67,77.27,92,100,5.57,heavy intensity rain
381,San Giovanni Valdarno,IT,43.57,11.53,92.5,39,34,3.87,scattered clouds
382,Gamba,GA,-2.65,10.00,79.25,65,95,9.28,overcast clouds
383,Pangkalanbuun,ID,-2.68,111.62,73.8,94,100,2.35,overcast clouds
384,Asau,RO,46.43,26.40,69.28,69,97,3.87,overcast clouds
385,Cherskiy,RU,68.75,161.30,37.02,91,100,6.49,overcast clouds
386,Hobyo,SO,5.35,48.53,78.1,71,32,28.7,scattered clouds
387,Bayan,CN,46.08,127.40,55.67,87,100,4.61,overcast clouds
388,Batticaloa,LK,7.71,81.69,78.64,87,79,5.95,broken clouds
389,Kunya,NG,12.22,8.53,89.76,55,20,3.44,few clouds
390,Bhanjanagar,IN,19.93,84.58,85.26,73,69,1.14,broken clouds
391,Bossier City,US,32.52,-93.73,77.18,87,0,0.0,clear sky
392,Lichinga,MZ,-13.31,35.24,75.7,31,0,7.87,clear sky
393,Berbera,SO,10.44,45.01,93.76,45,0,5.61,clear sky
394,Port Hedland,AU,-20.32,118.57,69.85,73,0,10.36,clear sky
395,Tommot,RU,58.96,126.29,43.54,97,85,2.55,overcast clouds
396,Lima,PE,-12.04,-77.03,60.91,84,100,4.61,overcast clouds
397,Faya,SA,18.39,42.45,86.11,42,36,7.11,scattered clouds
398,Tarakan,ID,3.30,117.63,78.3,94,100,1.14,moderate rain
399,Emmett,US,43.87,-116.50,69.93,25,2,1.97,clear sky
400,Maniitsoq,GL,65.42,-52.90,39.88,92,100,20.24,light rain
401,Port Macquarie,AU,-31.43,152.92,52.9,85,99,9.89,overcast clouds
402,Ust-Barguzin,RU,53.45,108.98,45.3,76,56,2.15,broken clouds
403,Tokmak,UA,47.25,35.71,69.08,28,63,11.16,broken clouds
404,Green River,US,41.53,-109.47,64.8,23,0,3.04,clear sky
405,Shingu,JP,33.73,135.98,78.15,90,100,6.64,light rain
406,Broome,US,42.25,-75.83,69.19,98,100,8.05,moderate rain
407,Kita,ML,13.03,-9.49,90.77,48,39,2.42,scattered clouds
408,Karratha,AU,-20.74,116.85,70.7,56,0,18.37,clear sky
409,Nouadhibou,MR,20.93,-17.03,80.4,67,0,6.58,clear sky
410,Carballo,ES,43.21,-8.69,76.69,65,4,12.93,clear sky
411,Touho,NC,-20.78,165.23,68.34,79,100,7.81,heavy intensity rain
412,Mao,ES,39.89,4.27,84.76,70,40,9.22,scattered clouds
413,Huilong,CN,31.81,121.66,71.42,76,100,23.44,overcast clouds
414,Puerto Baquerizo Moreno,EC,-0.90,-89.60,69.04,90,100,11.21,overcast clouds
415,Ilulissat,GL,69.22,-51.10,41.32,95,100,4.18,light rain
416,Qingdao,CN,36.10,120.37,71.2,94,0,4.47,clear sky
417,Nuevo Laredo,MX,27.48,-99.52,75.47,100,100,3.44,overcast clouds
418,Ruteng,ID,-8.61,120.47,62.8,94,72,1.5,broken clouds
419,Abonnema,NG,4.71,6.79,89.89,65,94,9.53,light rain
420,Itaituba,BR,-4.28,-55.98,87.96,70,0,4.61,clear sky
421,Dehui,CN,44.53,125.70,53.19,66,47,5.61,scattered clouds
422,Kaeo,NZ,-35.10,173.78,55.33,90,100,19.77,overcast clouds
423,Road Town,VG,18.42,-64.62,84.24,84,40,18.41,scattered clouds
424,Avera,US,33.19,-82.53,75.25,81,56,6.6,broken clouds
425,Saldanha,ZA,-33.01,17.94,57.78,60,13,14.7,few clouds
426,Aswan,EG,24.09,32.91,107.31,13,1,14.2,clear sky
427,Ampanihy,MG,-24.70,44.75,87.19,19,0,5.86,clear sky
428,Saint-Augustin,CA,51.23,-58.65,51.58,75,100,13.85,overcast clouds
429,Pogranichnyy,RU,44.41,131.38,59.88,97,100,1.95,heavy intensity rain
430,Samaipata,BO,-18.15,-63.87,59.11,32,84,3.11,broken clouds
431,Krasnoborsk,RU,61.56,45.93,47.17,65,100,5.44,overcast clouds
432,Carman,CA,49.50,-98.00,58.89,88,98,14.97,overcast clouds
433,Lorengau,PG,-2.02,147.27,81.07,73,16,8.57,few clouds
434,Vallecillo,HN,14.52,-87.40,70.5,87,71,1.3,broken clouds
435,Sambava,MG,-14.27,50.17,72.79,77,94,11.01,light rain
436,Znamenskoye,RU,57.13,73.83,46.09,91,100,4.36,overcast clouds
437,Looc,PH,12.26,121.99,80.15,85,100,7.94,light rain
438,Luangwa,ZM,-15.62,30.42,90.66,19,0,6.85,clear sky
439,Mandurah,AU,-32.55,115.70,56.91,73,46,10.16,scattered clouds
440,Xuddur,SO,4.12,43.89,88.59,32,82,18.19,broken clouds
441,Narasannapeta,IN,18.42,84.05,82.24,86,14,8.41,few clouds
442,Bam,IR,29.11,58.36,92.3,7,0,8.61,clear sky
443,Okhtyrka,UA,50.31,34.90,60.58,44,95,10.98,overcast clouds
444,Fukue,JP,32.69,128.84,80.94,91,100,62.07,heavy intensity rain
445,George Town,MY,5.41,100.34,84.88,81,20,2.3,few clouds
446,Astara,AZ,38.50,48.67,77.7,77,59,9.46,light rain
447,Lagoa,PT,39.05,-27.98,70.63,75,95,0.74,overcast clouds
448,Ust-Ilimsk,RU,58.00,102.66,46.72,83,100,8.75,light rain
449,Clyde River,CA,70.47,-68.59,39.43,87,100,13.8,overcast clouds
450,Sabha,LY,27.04,14.43,98.35,16,0,19.19,clear sky
451,Martapura,ID,-3.42,114.85,75.29,100,20,2.3,moderate rain
452,Cayenne,GF,4.93,-52.33,87.84,66,75,8.05,broken clouds
453,Qinhuangdao,CN,39.93,119.59,64.02,67,0,0.83,clear sky
454,Melilla,ES,35.29,-2.94,89.8,37,0,12.66,clear sky
455,Vostok,RU,46.49,135.88,55.09,97,100,2.04,light rain
456,Lasa,IT,46.62,10.70,74.7,66,77,1.74,broken clouds
457,Benguela,AO,-12.58,13.41,75.13,72,35,10.0,scattered clouds
458,Tateyama,JP,34.98,139.87,76.1,79,2,6.06,clear sky
459,Port Lincoln,AU,-34.73,135.87,53.78,75,97,13.71,overcast clouds
460,Mecca,SA,21.43,39.83,99.77,27,1,14.65,clear sky
461,Taldan,RU,53.67,124.80,53.62,91,100,9.73,light rain
462,Normandin,CA,48.83,-72.53,48.51,87,23,1.14,few clouds
463,Zaporizhzhya,UA,47.82,35.18,68.95,29,86,10.16,overcast clouds
464,Konakovo,RU,56.70,36.77,46.72,90,100,6.46,overcast clouds
465,Altagracia De Orituco,VE,9.86,-66.38,83.19,59,88,5.61,overcast clouds
466,Yulara,AU,-25.24,130.99,63.99,30,51,10.07,broken clouds
467,Cruzeiro Do Sul,BR,-29.51,-51.99,63.5,75,99,2.01,overcast clouds
468,Nelson Bay,AU,-32.72,152.15,60.01,79,67,11.01,broken clouds
469,San Francisco,US,37.77,-122.42,77.45,73,20,3.44,few clouds
470,Villamontes,BO,-21.25,-63.50,67.44,37,0,0.0,clear sky
471,Bilma,NE,18.69,12.92,103.78,14,6,5.79,clear sky
472,Zhangjiakou,CN,40.81,114.88,57.25,27,0,6.76,clear sky
473,Santiago,CL,-33.46,-70.65,74.55,42,0,2.3,clear sky
474,Luang Prabang,LA,19.89,102.13,74.52,99,92,0.87,overcast clouds
475,Loikaw,MM,19.67,97.21,70.9,95,98,1.21,overcast clouds
476,Srednekolymsk,RU,67.45,153.68,39.65,81,99,6.29,overcast clouds
477,Doha,QA,25.29,51.53,111.51,40,0,10.36,clear sky
478,Dawlatabad,AF,36.41,64.91,88.7,10,0,4.41,clear sky
479,Kargasok,RU,59.06,80.86,48.25,72,100,7.9,overcast clouds
480,Wenling,CN,28.37,121.36,76.3,73,100,3.53,overcast clouds
481,Deloraine,AU,-41.53,146.67,42.15,48,48,2.59,scattered clouds
482,Big Spring,US,32.25,-101.48,73.24,79,0,5.75,clear sky
483,Fujin,CN,47.26,132.03,59.11,94,100,6.11,overcast clouds
484,Ostrovnoy,RU,68.05,39.51,46.58,84,100,21.56,light rain
485,Saint-Francois,FR,46.42,3.91,90.68,33,0,6.91,clear sky
486,Kathu,TH,7.92,98.33,85.69,99,100,11.79,overcast clouds
487,Mutis,CO,6.23,-77.40,80.92,76,80,0.96,broken clouds
488,Torres,BR,-29.34,-49.73,62.37,68,41,7.56,scattered clouds
489,Zimovniki,RU,47.15,42.46,67.53,28,23,6.8,few clouds
490,Bugene,TZ,-1.59,31.14,73.87,49,67,6.98,broken clouds
491,Talalayivka,UA,50.96,31.92,61.57,33,96,14.58,overcast clouds
492,Pahrump,US,36.21,-115.98,87.87,32,0,4.41,clear sky
493,Horsham,GB,51.06,-0.33,74.52,74,0,5.75,light rain
494,Loreto,MX,22.27,-101.97,61.92,74,100,12.01,overcast clouds
495,Dolgoderevenskoye,RU,55.34,61.34,48.54,100,40,11.18,scattered clouds
496,Levelland,US,33.59,-102.38,72.19,57,0,8.12,clear sky
497,Novopokrovka,UA,49.84,36.55,60.26,47,84,8.12,light rain
498,Plettenberg Bay,ZA,-34.05,23.37,61.27,54,7,23.62,clear sky
499,Huntsville,US,34.73,-86.59,73.9,96,100,4.61,overcast clouds
500,Mungwi,ZM,-10.17,31.37,86.45,14,0,3.49,clear sky
501,Isilkul,RU,54.91,71.27,50.95,74,100,14.79,light rain
502,Bontang,ID,0.13,117.50,72.88,93,100,9.13,heavy intensity rain
503,Morwell,AU,-38.23,146.40,44.4,99,22,2.73,few clouds
504,Balagansk,RU,54.01,103.05,49.87,78,100,0.67,overcast clouds
505,Langsa,ID,4.47,97.97,75.33,93,100,1.5,overcast clouds
506,Mbuji-Mayi,CD,-6.15,23.60,92.3,30,92,1.21,overcast clouds
507,Mizan Teferi,ET,6.98,35.58,67.28,94,81,2.46,light rain
508,Pingliang,CN,35.54,106.69,67.39,29,35,5.48,scattered clouds
509,Bezhta,RU,42.13,46.13,64.54,69,61,7.92,light rain
510,Mapiripan,CO,2.89,-72.13,74.32,89,99,4.03,overcast clouds
511,Mendi,PG,-6.18,143.65,54.48,98,95,2.8,moderate rain
512,Vysokogornyy,RU,50.12,139.15,52.5,84,100,3.0,overcast clouds
513,Carson City,US,39.16,-119.77,72.9,40,0,0.0,clear sky
514,Nemuro,JP,43.32,145.57,64.69,89,94,14.0,overcast clouds
515,Zatoka,UA,46.07,30.47,66.58,45,57,8.43,broken clouds
516,Flin Flon,CA,54.77,-101.86,64.24,77,0,9.22,clear sky
517,Longonjo,AO,-12.91,15.25,88.41,16,99,0.96,overcast clouds
518,Blankenberge,BE,51.31,3.13,83.97,60,100,10.42,overcast clouds
519,Pio Ix,BR,-6.84,-40.58,89.58,30,5,12.97,clear sky
520,Gogrial,SS,8.53,28.10,80.92,78,99,3.58,light rain
521,Caruray,PH,10.31,119.01,77.9,90,100,8.08,light rain
522,Mason City,US,43.15,-93.20,65.08,82,100,3.44,mist
523,Klyuchi,RU,52.27,79.17,68.36,25,87,6.96,overcast clouds
524,Entre Rios,BR,-11.94,-38.08,78.96,54,88,8.75,overcast clouds
525,Anchorage,US,61.22,-149.90,50.67,93,100,3.44,overcast clouds
526,Fort Nelson,CA,58.81,-122.70,44.19,93,75,3.44,broken clouds
527,Camacha,PT,33.08,-16.33,74.62,69,40,10.36,scattered clouds
528,Grootfontein,NA,-19.57,18.12,84.49,9,0,1.86,clear sky
529,Ulkan,RU,57.24,107.32,48.81,74,100,5.21,overcast clouds
530,Salalah,OM,17.02,54.09,78.71,89,99,10.16,light rain
531,Okhotsk,RU,59.38,143.30,48.96,83,2,5.14,clear sky
532,Grindavik,IS,63.84,-22.43,55.87,58,0,10.36,clear sky
533,Veshkayma,RU,54.05,47.13,55.53,39,82,7.16,broken clouds
534,Kashi,CN,39.45,75.98,81.61,21,20,4.47,few clouds
535,Dickinson,US,29.46,-95.05,75.97,93,100,4.09,overcast clouds
536,Margate,GB,51.38,1.39,76.87,68,100,1.99,overcast clouds
537,Portland,US,45.52,-122.68,59.61,87,40,4.61,scattered clouds
538,Acajutla,SV,13.59,-89.83,80.06,80,98,2.89,overcast clouds
539,Salym,RU,60.06,71.48,44.6,82,99,5.08,overcast clouds
540,Pochutla,MX,15.74,-96.47,75.81,87,100,1.28,overcast clouds
541,Porto Belo,BR,-27.16,-48.55,67.68,78,100,4.65,overcast clouds
542,Kihei,US,20.79,-156.47,78.84,77,97,6.51,overcast clouds
543,San Ignacio,BZ,17.16,-89.07,75.34,94,0,0.0,clear sky
544,La Ronge,CA,55.10,-105.28,62.82,88,20,4.61,smoke
545,Atar,MR,20.52,-13.05,102.85,23,0,2.35,clear sky
546,Kamenka,RU,51.32,42.77,61.34,29,100,10.69,overcast clouds
547,Svetlyy,RU,54.67,20.13,61.97,43,2,10.36,clear sky
548,Puerto Palomas,MX,31.77,-107.62,70.65,64,0,4.47,clear sky
549,Meulaboh,ID,4.14,96.13,78.75,76,99,1.1,overcast clouds
550,Asyut,EG,27.18,31.18,98.2,18,0,14.38,clear sky
551,Centralia,US,46.72,-122.95,57.07,81,15,1.95,few clouds
552,Yongan,CN,39.70,113.69,53.65,48,0,3.78,clear sky
553,Peniche,PT,39.36,-9.38,79.09,79,8,13.53,clear sky
554,Vadso,NO,70.07,29.75,49.08,81,75,21.85,shower rain
555,Viedma,AR,-40.81,-63.00,73.47,16,2,20.22,clear sky
556,Nelson,NZ,-41.28,173.28,37.0,85,34,6.51,scattered clouds
557,Sabang,ID,5.89,95.32,82.69,77,100,18.03,overcast clouds
558,Tiznit,MA,29.58,-9.50,87.66,29,30,11.05,scattered clouds
559,Porto Novo,BJ,6.50,2.60,82.22,67,93,11.56,overcast clouds
560,Kenai,US,60.55,-151.26,49.14,100,0,4.61,mist
561,Passo Fundo,BR,-28.26,-52.41,55.65,67,0,13.8,clear sky
562,Jurado,CO,7.11,-77.76,80.55,80,26,1.07,scattered clouds
563,Chilca,PE,-12.52,-76.74,59.74,80,96,2.62,overcast clouds
564,Gizo,SB,-8.10,156.84,81.3,77,24,4.83,few clouds
565,Breukelen,NL,52.17,5.00,88.95,41,100,3.11,overcast clouds
566,Luancheng,CN,37.88,114.65,69.96,62,0,6.96,clear sky
567,Juneau,US,58.30,-134.42,51.22,98,100,2.73,overcast clouds
568,Isangel,VU,-19.55,169.27,73.53,92,100,5.37,moderate rain
569,Samarai,PG,-10.62,150.67,80.69,81,52,8.68,broken clouds
570,Krasnoselkup,RU,65.70,82.47,43.93,87,100,12.77,light rain
571,Moralillo,MX,22.22,-97.90,78.33,84,99,2.82,overcast clouds
572,Liaocheng,CN,36.44,115.96,68.76,55,2,5.79,clear sky
573,Taree,AU,-31.90,152.47,51.12,93,100,4.07,overcast clouds
574,Hualmay,PE,-11.10,-77.61,62.69,74,54,7.2,broken clouds
575,Kysyl-Syr,RU,63.90,122.76,43.93,79,100,6.67,overcast clouds
576,Eureka,US,40.80,-124.16,60.21,94,31,3.49,scattered clouds
577,Antunez,MX,19.02,-102.20,78.76,93,100,0.54,overcast clouds
578,Fairbanks,US,64.84,-147.72,48.09,90,92,2.15,overcast clouds
579,Chimbote,PE,-9.09,-78.58,63.7,77,91,7.05,overcast clouds
580,Novooleksiyivka,UA,46.23,34.64,69.76,28,7,10.54,clear sky
581,Hokitika,NZ,-42.72,170.97,33.22,80,2,8.99,clear sky
582,Guerrero Negro,MX,27.98,-114.06,75.47,86,9,11.7,clear sky
583,Aleksandrov Gay,RU,50.15,48.57,64.31,33,17,10.31,few clouds
584,Chiredzi,ZW,-21.05,31.67,90.7,10,1,6.98,clear sky
585,Biloela,AU,-24.42,150.50,56.62,76,99,5.35,overcast clouds
586,Alta Floresta,BR,-9.88,-56.09,87.62,37,28,6.91,smoke
587,Westport,US,41.14,-73.36,79.29,84,100,5.75,overcast clouds
588,Necochea,AR,-38.55,-58.74,63.73,40,0,10.8,clear sky
589,Cairns,AU,-16.92,145.77,69.75,73,40,8.05,scattered clouds
590,Perpignan,FR,42.75,2.75,87.82,59,0,18.41,clear sky
591,Dores Do Indaia,BR,-19.46,-45.60,79.34,41,12,7.16,few clouds
592,Jiaohe,CN,43.73,127.34,59.47,97,100,2.64,overcast clouds
593,Amazar,RU,53.86,120.88,54.37,95,85,9.33,overcast clouds
594,Iquique,CL,-20.22,-70.14,55.44,58,1,7.11,clear sky
595,Pozhva,RU,59.09,56.08,47.05,79,98,6.33,overcast clouds
596,Castlecomer,IE,52.81,-7.21,66.11,82,93,21.65,overcast clouds
597,Joinville,BR,-26.30,-48.85,62.51,77,75,3.44,broken clouds
598,Logrono,ES,42.47,-2.45,89.1,22,0,2.3,clear sky
599,Miramar,US,25.99,-80.23,91.02,77,95,4.0,overcast clouds
600,Santa Quiteria Do Maranhao,BR,-3.52,-42.55,95.88,33,16,8.16,few clouds
601,Hambantota,LK,6.12,81.12,77.34,100,40,10.36,scattered clouds
602,Svetlogorsk,BY,52.63,29.73,57.7,42,91,10.67,overcast clouds
603,Apeldoorn,NL,52.21,5.97,88.3,30,100,3.44,overcast clouds
604,San Joaquin,US,37.93,-121.30,75.36,50,0,5.68,clear sky
605,Coahuayana,MX,18.73,-103.68,76.73,89,100,4.81,overcast clouds
606,Riyadh,SA,24.69,46.72,109.54,7,0,4.76,clear sky
607,Kombissiri,BF,12.07,-1.34,91.38,49,82,2.93,broken clouds
608,Naze,JP,28.37,129.48,81.52,87,100,24.43,moderate rain
609,Guhagar,IN,17.48,73.19,80.19,87,100,8.23,overcast clouds
610,Pavlovka,RU,52.69,47.14,58.12,39,61,8.1,broken clouds
611,Horta,PT,38.53,-28.63,74.84,73,75,6.91,broken clouds
612,Miram Shah,PK,33.01,70.07,86.2,46,11,10.4,few clouds
613,Statesville,US,35.78,-80.89,75.11,66,100,5.75,light intensity drizzle
614,Ishigaki,JP,24.34,124.16,82.53,94,75,4.61,broken clouds
615,Riberalta,BO,-10.98,-66.10,70.0,56,12,9.22,smoke
616,Kirkenaer,NO,60.46,12.06,61.74,60,60,1.34,broken clouds
617,Abu Samrah,SY,35.30,37.18,96.93,20,0,15.46,clear sky
618,Ahvaz,IR,31.32,48.67,112.95,17,0,6.91,clear sky
619,Beian,NO,63.66,9.57,66.29,55,20,10.36,few clouds
620,Waitati,NZ,-45.75,170.57,35.8,77,65,6.44,broken clouds
621,Aykhal,RU,66.00,111.50,38.84,76,100,12.08,overcast clouds
622,Shakhty,RU,47.71,40.21,67.62,30,100,7.67,overcast clouds
623,Joao Pinheiro,BR,-17.74,-46.17,80.96,34,4,10.67,clear sky
624,Shahreza,IR,32.03,51.88,86.77,7,0,13.73,clear sky
625,Camapua,BR,-19.53,-54.04,81.75,37,50,9.91,scattered clouds
626,Cap Malheureux,MU,-19.98,57.61,72.46,71,6,10.0,clear sky
627,Bereda,ES,43.27,-7.54,70.57,95,100,8.77,overcast clouds
628,Ban Phai,TH,16.06,102.73,77.22,85,48,9.31,scattered clouds
629,Caibarien,CU,22.52,-79.47,84.09,70,5,8.25,clear sky
630,Kieta,PG,-6.22,155.63,77.34,82,10,4.34,clear sky
631,Champerico,GT,14.30,-91.92,75.74,77,100,9.86,overcast clouds
632,Tamandare,BR,-8.76,-35.10,79.77,71,30,13.98,scattered clouds
633,Ouadda,CF,8.08,22.40,79.81,74,77,4.74,light rain
634,Itoman,JP,26.12,127.67,84.22,91,75,21.85,mist
635,Sept-Iles,CA,50.20,-66.38,62.06,54,75,8.05,broken clouds
636,Streator,US,41.12,-88.84,68.13,94,18,1.99,few clouds
637,Dhidhdhoo,MV,6.88,73.10,78.75,83,100,28.36,light rain
638,Alekseyevsk,RU,57.84,108.35,48.33,75,100,5.88,overcast clouds
639,Labuan,MY,5.28,115.24,75.56,94,40,3.44,light rain
640,Mahibadhoo,MV,3.78,72.97,79.63,84,100,17.87,overcast clouds
641,Belaya,UA,49.03,25.77,68.4,34,12,6.06,few clouds
642,Biltine,TD,14.53,20.92,82.62,58,37,8.34,light rain
643,Taksimo,RU,56.34,114.88,46.85,83,95,2.13,overcast clouds
644,Kungurtug,RU,50.60,97.52,51.8,61,56,2.42,broken clouds
645,Mae Hong Son,TH,19.30,97.97,76.95,95,100,0.76,overcast clouds
646,Monrovia,LR,6.30,-10.80,85.77,78,47,7.92,light rain
647,Altay,CN,47.87,88.12,66.67,33,0,4.45,clear sky
648,Aitape,PG,-3.14,142.35,79.05,85,58,5.14,broken clouds
649,Koindu,GN,8.44,-10.33,83.41,66,57,3.53,light rain
650,Polewali,ID,-3.43,119.34,74.21,88,100,3.2,overcast clouds
651,Severomuysk,RU,56.15,113.43,36.64,86,75,3.31,broken clouds
652,Pingxiang,CN,27.62,113.85,74.35,50,2,3.78,clear sky
653,Mackenzie,CA,55.30,-123.17,48.42,81,75,3.44,broken clouds
654,Aubenas,FR,44.62,4.39,85.44,58,87,8.14,overcast clouds
655,Black River,JM,18.03,-77.85,83.86,68,9,0.87,clear sky
656,Lhokseumawe,ID,5.18,97.15,79.97,81,100,0.45,overcast clouds
657,San Cristobal,VE,7.77,-72.22,75.38,57,71,5.39,broken clouds
658,Mamontovo,RU,52.71,81.62,62.76,23,90,2.8,overcast clouds
659,Mezen,RU,65.85,44.24,49.03,76,98,10.8,overcast clouds
660,Kananga,CD,-5.90,22.42,91.15,32,90,3.69,overcast clouds
661,San Rafael Del Sur,NI,11.85,-86.44,76.17,78,100,7.11,overcast clouds
662,Ballina,AU,-28.87,153.57,54.01,98,100,9.53,light rain
663,Santarem,BR,-2.44,-54.71,84.33,79,40,16.11,scattered clouds
664,Aktau,KZ,43.65,51.20,70.38,55,45,21.88,scattered clouds
665,Soria,ES,41.67,-2.67,79.86,16,4,11.77,clear sky
666,Xichang,CN,27.90,102.26,59.77,71,100,1.54,overcast clouds
667,Danville,US,36.59,-79.39,74.77,92,100,3.65,overcast clouds
668,Anadyr,RU,64.75,177.48,37.9,100,100,15.66,light intensity drizzle
669,Rize,TR,40.90,40.89,53.28,96,100,6.11,overcast clouds
670,Jiuquan,CN,39.74,98.52,70.84,14,0,4.72,clear sky
671,Kilindoni,TZ,-7.91,39.67,76.64,69,18,11.12,few clouds
672,Arlit,NE,18.74,7.39,103.53,15,2,5.53,clear sky
673,Ulaangom,MN,49.98,92.07,58.64,39,29,0.45,scattered clouds
674,Sakakah,SA,29.97,40.21,108.97,7,0,1.34,clear sky
675,Carberry,CA,49.87,-99.36,55.63,46,13,13.71,few clouds
676,Mushie,CD,-3.02,16.90,94.96,33,54,3.24,broken clouds
677,Concepcion Del Oro,MX,24.63,-101.42,59.97,73,100,4.25,overcast clouds
678,Glendive,US,47.11,-104.71,74.17,25,0,4.99,clear sky
679,Balkanabat,TM,39.51,54.37,91.31,25,0,14.56,clear sky
680,Ueckermunde,DE,53.74,14.04,74.55,55,0,11.5,clear sky
681,Awbari,LY,26.59,12.78,98.67,16,0,20.15,clear sky
682,Crotone,IT,39.09,17.12,86.2,51,0,18.07,clear sky
683,Tabas,IR,33.60,56.92,93.97,7,0,13.89,clear sky
